fight_id,event_date,category,fighter_a_name,fighter_b_name,age_a,age_b,age_diff,stance_a,stance_b,height_diff,reach_diff,win_pct_diff,ko_rate_diff,sub_rate_diff,dec_rate_diff,ko_loss_rate_diff,sub_loss_rate_diff,sig_str_landed_per_min_diff,sig_str_absorbed_per_min_diff,sig_str_accuracy_diff,td_avg_per_15min_diff,td_accuracy_diff,td_defense_diff,sub_att_per_15min_diff,ctrl_time_pct_diff,days_since_last_fight_diff,win_streak_diff,losing_streak_diff,total_fights_diff,elo_diff,recent_3_wins_diff,recent_3_losses_diff,recent_5_wins_diff,recent_5_losses_diff,recent_3_ko_loss_rate_diff,recent_5_ko_loss_rate_diff,decay_sig_per_min_diff,decay_sig_absorbed_per_min_diff,decay_td_per_15min_diff,avg_opp_elo_diff,avg_opp_elo_wins_diff,winner
fight_00060,2002-05-10,Middleweight,Phil Baroni,Amar Suloev,26.0,25.0,1.0,Orthodox,Orthodox,0.0,,0.5,,,,0.0,0.0,0.8609629023622262,0.030668372207948602,0.30028190892449225,-2.7875994835438638,0.07046332046332038,0.05780780780780792,1.2,0.24466666666666667,70.0,0,0,1,29.32356973837318,1,0,1,0,0.0,0.0,0.9747866829457534,0.17740709700256918,0.48109001220931513,-89.4104263791678,,1
fight_00061,2002-05-10,Lightweight,Yves Edwards,Caol Uno,25.0,27.0,-2.0,Southpaw,Southpaw,5.0,7.0,-0.3333333333333333,,,,-0.5,0.0,-0.11603745122577924,-0.17071855607410819,0.1203644158628081,3.2471215334627246,0.11767702496179322,0.2,0.0,-0.061656029098895074,35.0,0,0,-2,-29.922967328495133,-1,-1,-1,-1,-0.3333333333333333,-0.3333333333333333,-0.3722927986756644,-0.5305634361960966,-1.8486070457062351,-93.80347545972268,,2
fight_00062,2002-05-10,Middleweight,Andrei Semenov,Ivan Salaverry,24.0,31.0,-7.0,Orthodox,Orthodox,0.0,,,,,,,,,,-0.2707803223070399,,0.0,0.045454545454545414,,,,1,0,1,54.5895736208322,1,0,1,0,,,,,,,,2
fight_00063,2002-05-10,Welterweight,Steve Berger,Benji Radach,28.0,23.0,5.0,Orthodox,Orthodox,2.0,,,,,,,,,,-0.20258002866698516,,0.0,-0.0987179487179487,,,,0,1,1,-47.80273972602731,0,1,0,1,,,,,,,,No Contest
fight_00064,2002-05-10,Welterweight,Aaron Riley,Robbie Lawler,21.0,20.0,1.0,Southpaw,Southpaw,-7.0,-13.0,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00065,2002-06-22,Light Heavyweight,Vitor Belfort,Chuck Liddell,25.0,32.0,-7.0,Southpaw,Orthodox,-5.0,-5.0,,,,,,,,,0.14426957085794273,,0.0,-0.23563941299790359,,,,-3,0,-3,-125.32356973837318,-3,0,-3,0,,,,,,,,2
fight_00066,2002-06-22,Welterweight,Nick Serra,Benji Radach,24.0,23.0,1.0,Orthodox,Orthodox,-3.0,,,,,,,,,,-0.184751570531125,,0.0,0.0,,,,0,0,-1,0.0,0,0,0,0,,,,,,,,2
fight_00067,2002-06-22,Welterweight,Pete Spratt,Zach Light,31.0,28.0,3.0,Orthodox,Orthodox,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00068,2002-06-22,Welterweight,Robbie Lawler,Steve Berger,20.0,29.0,-9.0,Southpaw,Orthodox,0.0,,1.0,,,,,,1.1585055965531155,-0.3050598235340436,0.17450070867156298,2.087712675234899,-0.0005988023952095967,0.18013972055888228,-0.9708737864077671,0.09,0.0,1,-1,-1,95.80273972602731,1,-1,1,-1,0.0,0.0,1.6666666666666665,-0.8140737781831464,1.0,0.0,,1
fight_00069,2002-06-22,Middleweight,Tony Fryklund,Rodrigo Ruas,31.0,24.0,7.0,Orthodox,Orthodox,5.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00070,2002-06-22,Lightweight,Yves Edwards,Joao Pierini,25.0,30.0,-5.0,Southpaw,Switch,-10.0,,,,,,,,,,0.11633923518473599,,0.07101086048454464,0.2011695906432749,,,,0,2,2,-98.46575408990225,0,2,0,2,,,,,,,,1
fight_00071,2002-07-13,Welterweight,Matt Hughes,Carlos Newton,28.0,25.0,3.0,Switch,Orthodox,0.0,,0.5,1.0,-1.0,0.0,,,-0.07969405460112444,-0.7445225699393266,0.21520490682501858,1.0162973879143458,0.28247386142122993,0.1242690058479532,0.6130790190735694,0.1975565153702496,-140.0,2,-1,0,101.6987742048882,1,-1,1,-1,-0.5,-0.5,-0.08160045224253565,-0.9322757943929947,2.278348687691662,24.0,24.0,1
fight_00072,2002-07-13,Heavyweight,Frank Mir,Ian Freeman,23.0,35.0,-12.0,Southpaw,Orthodox,10.0,,,,,,,,,,0.011291479582348107,,0.0,-0.07142857142857145,,,,2,0,2,78.70544360574627,2,0,2,0,,,,,,,,2
fight_00073,2002-07-13,Middleweight,Eugene Jackson,Mark Weir,35.0,34.0,1.0,Orthodox,Southpaw,-15.0,,,,,,,,,,-0.11110565110565107,,0.1271186440677966,-0.1271186440677966,,,,1,0,2,6.589573620832198,1,1,1,1,,,,,,,,2
fight_00074,2002-07-13,Lightweight,Genki Sudo,Leigh Remedios,24.0,26.0,-2.0,Orthodox,Orthodox,5.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00075,2002-07-13,Light Heavyweight,James Zikic,Phillip Miller,25.0,23.0,2.0,Orthodox,Orthodox,8.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
